Author-Any,BL Record ID
"Atkinson, Mike",8116446
"Atkinson, Mike",10547461
Attack International.,9470571
Aubin Antoine,16073308
"Auchterlounie, Nigel.",9074366
"Auchterlounie, Nigel.",9489297
"Auchterlounie, Nigel.",10127729
"Auchterlounie, Nigel.",15463284
"Auchterlounie, Nigel.",15781786
"Aucoin, Derec.",15104110
"Audi, Michael.",7688282
"Augustyn, Brian.",13527607
"Augustyn, Brian.",10761573
"Augustyn, Brian.",12029072
"Austen, Chuck.",9723938
"Austen, Chuck.",13093322
"Austen, Chuck.",13310936
"Austen, Jane",6930401
"Austen, Jane",15484355
"Austen, Jane",15734846
"Austen, Jane",16552219
"Auster, Paul",13039363
"Austin, David",7706349
"Austin, David",10079867
"Austin, David",11401060
"Austin, David",12301499
"Austin, David.",12236999
"Austin, Terry",10731042
"Austin, Terry",12286240
"Austin, Terry",12029297
"Austin, Terry",12029413
"Austin, Terry",14777917
"Austin, Terry",16457214
"Austin, Terry",16457215
"Austin, Terry",16457216
"Austin, Terry",16457217
Austin.,7371903
"Auth, Tony.",10068677
"Aymond, Philippe.",14686515
"Aymond, Philippe.",15415818
"Aymond, Philippe.",15805014
"Aymond, Philippe.",16270837
"Azpiri, Alfonso.",15880262
"Azzarello, Brian.",10761729
"Azzarello, Brian.",10761729
"Azzarello, Brian.",10761765
"Azzarello, Brian.",10761765
"Azzarello, Brian.",10761789
"Azzarello, Brian.",10761789
"Azzarello, Brian.",10761857
"Azzarello, Brian.",10761857
"Azzarello, Brian.",12881457
"Azzarello, Brian.",12881457
"Azzarello, Brian.",13074766
"Azzarello, Brian.",13251250
"Azzarello, Brian.",13409446
"Azzarello, Brian.",13578880
"Azzarello, Brian.",13818525
"Azzarello, Brian.",13818525
"Azzarello, Brian.",14407974
"Azzarello, Brian.",14657323
"Azzarello, Brian.",14760959
"Azzarello, Brian.",14927201
"Azzarello, Brian.",15337680
"Azzarello, Brian.",15584575
"Azzarello, Brian.",15606827
"Azzarello, Brian.",15794619
"Azzarello, Brian.",16030705
"B., David",13408412
"B., David",15768095
"Baal, Kewber.",16020414
"Babb, Paul.",12676906
"Bacall, Aaron.",11361678
"Bachalo, Chris",16444309
"Bachalo, Chris",16622806
"Bachalo, Chris.",10761645
"Bachalo, Chris.",10761645
"Bachalo, Chris.",10761877
"Bachalo, Chris.",15381401
"Bachalo, Chris.",15964916
"Bachs, Ramon F.",10761657
"Bachs, Ramon F.",10761795
"Bachs, Ramon F.",12276418
"Bachs, Ramon F.",12276418
"Bachs, Ramon F.",13475996
"Bachs, Ramon F.",15739008
"Bader, Hilary J.",12286223
"Bader, Hilary.",6948848
"Bader, Hilary.",10761607
"Baek, HyeKyung",16167693
"Baek, HyeKyung.",16167693
"Bagge, Peter.",7693145
"Bagge, Peter.",9750060
"Bagge, Peter.",10137279
"Bagge, Peter.",10137280
"Bagge, Peter.",10137281
"Bagge, Peter.",10137282
"Bagge, Peter.",10137283
"Bagge, Peter.",10385897
"Bagge, Peter.",10385898
"Bagge, Peter.",10385899
"Bagge, Peter.",10385900
"Bagge, Peter.",10385901
"Bagge, Peter.",11630074
"Bagge, Peter.",15495081
"Bagge, Peter.",15739368
"Bagge, Peter.",9489299
"Bagley, Mark.",13547924
"Bagley, Mark.",14590250
"Bagley, Mark.",15535944
"Bagley, Mark.",15768006
"Bagley, Mark.",15860876
"Bagley, Mark.",15953227
"Bagley, Mark.",15974122
"Bagnall, Brian.",10704873
"Bagwell, Edmund",16186881
"Bagwell, Edmund",16300185
"Bagwell, Edmund.",15856854
"Baikie, Jim.",10096070
"Baikie, Jim.",10138595
"Baikie, Jim.",10138595
"Baikie, Jim.",10761741
"Baikie, Jim.",11811690
"Baikie, Jim.",12286418
"Baikie, Jim.",12286418
"Baikie, Jim.",13053392
"Bailey, Alan",10124238
"Bailey, John",10963954
"Baily, Bernard",15964862
"Bain, David",7388069
"Bain, Ewen",8822196
"Bain, Ewen",11401101
"Bain, Theo.",13075283
"Bair, Michael.",13547740
Bairi.,13817578
"Bairnsfather, Bruce",15337708
"Bairnsfather, Bruce.",7436970
"Bairnsfather, Bruce.",12677983
"Baker, Bill",15578652
"Baker, Doug",8116449
"Baker, Kevin",15691327
"Baker, Nick",8111016
"Baker, Nick",8111017
"Baker, Nick",8774500
"Baker, William Howard.",11983491
"Baker-Smith, Grahame.",11329210
"Baldoni, Davide.",15578665
"Baldus, Zachary.",14864696
"Baldwin, Lizz.",15856128
"Balent, Jim.",12029269
"Ball, Murray.",9689781
"Ball, Murray.",12029099
"Balsman, Phil.",13818528
"Balsman, Phil.",15484231
"Balsman, Phil.",15856109
"Baltazar, Art",16684371
"Baltazar, Art.",15606841
"Balthazar, Flore.",15969486
"Bamber, Jim.",7446254
"Bamber, Jim.",10107023
"Bancroft, Tom.",15985975
"Banerji, Christiane.",9411822
"Bang, Derrick.",10768418
"Bang, Derrick.",10768419
"Bang, Derrick.",10768420
"Bang, Derrick.",10768421
"Banning, Matt.",14657313
"Banning, Matt.",14760948
"Banning, Matt.",15302799
"Banning, Matt.",15386204
Bannister.,15265934
Banx,7443399
Banx,8841870
Banx,13490680
"Barber, John.",13221581
"Barberi, Carlo",16199970
Barbican Art Gallery.,15772472
Bard,12697517
"Barker, Clive",6746050
"Barker, Clive",10708315
"Barker, Clive",12029066
"Barker, Clive",12029068
"Barker, Clive",16468155
"Barker, Clive",16621903
"Barker, Clive",16684099
"Barker, Clive",8718447
"Barker, Clive",10708319
"Barker, Clive",10708320
"Barker, Clive",10708321
"Barker, Edward",13272551
"Barker, Gary",16489980
"Barker, Gary",16530625
"Barker, Keith.",8133566
"Barker, Martin",8764394
"Barker, Martin",12029009
"Barlow, Jeremy.",14864855
"Barlow, Jeremy.",15170883
"Barlow, Jeremy.",15415759
"Barlow, Jeremy.",15584560
"Barnard, Guy.",13495315
"Barnes, Peter",8048380
"Barnes, Peter",8048488
