title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
Blue and gold,01/01/2008,,Titan,,14760955,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99262,,,
Gerry Anderson's TV 21 :adventure in the 21st century,01/01/2009,,Reynolds & Hearn,,14853206,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99266,,,
The burning age,01/01/2009,,Titan,,14864691,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99268,,,
Gerry Anderson's TV 21 :adventure in the 21st century.,01/01/2009,,Reynolds & Hearn,,14910113,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99269,,,
Static shock :rebirth of the cool,01/01/2009,,Titan,,15104115,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99272,,,
Kick-ass,01/01/2010,,Titan,,15409754,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99277,,,
The Marvels project,01/01/2010,,Panini,,15415673,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99278,,,
Best of Gerry Anderson's Century 21,01/01/2010,,Reynolds & Hearn,,15573482,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99282,,,
Century 21 :classic comic strips from the worlds of Gerry Anderson.,01/01/2010,,Reynolds & Hearn,,15601313,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99285,,,
The Flash.,01/01/2012,,Titan,,16118325,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99289,,,
Kick-ass 2,01/01/2012,,Titan,,16143596,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99290,,,
The gauntlet & be-knighted,01/01/2009,,Egmont,,15261451,9.78E+12,1,"Heroes / Comic books, strips, etc. / Juvenile fiction.",,99293,,,
Spider-man & friends annual.,01/01/2014,,Panini Publishing,,15610660,,1,"Heroes / Comic books, strips, etc. / Periodicals / Juvenile literature.",,99294,,,
Spider-man annual,01/01/2014,,Panini Publishing,,15610669,,1,"Heroes / Comic books, strips, etc. / Periodicals / Juvenile literature.",,99295,,,
Bullets over Babylon,01/01/2001,,Wildstorm,,10761707,1840233907,1,Heroes / Pictorial works / Fiction.,,99304,,,
DC vs Marvel,01/01/1996,,Titan,,12029334,1852867507,1,Heroes / Pictorial works / Fiction.,,99306,,,
Superhero :secret origins of a genre,01/01/2010,,Reynolds & Hearn,,15500526,9.78E+12,1,Heroes in literature.,,99319,,,
Project eon.,01/01/2006,,Markosia,,13456148,,1,Heros / Fiction.,,99324,,,
Jonah Hex origins,01/01/2007,,Titan,,14101133,9.78E+12,1,"Hex, Jonah (Fictitious character) / Comic books, strips, etc. / Fiction.",,99325,,,
Luck runs out,01/01/2008,,Titan,,14702764,9.78E+12,1,"Hex, Jonah (Fictitious character) / Comic books, strips, etc. / Fiction.",,99326,,,
Bullets don't lie,01/01/2009,,Titan,,14927210,9.78E+12,1,"Hex, Jonah (Fictitious character) / Comic books, strips, etc. / Fiction.",,99327,,,
The six gun war,01/01/2010,,Titan],,15511765,9.78E+12,1,"Hex, Jonah (Fictitious character) / Comic books, strips, etc. / Fiction.",,99328,,,
No way back,01/01/2010,,Titan,,15523229,9.78E+12,1,"Hex, Jonah (Fictitious character) / Comic books, strips, etc. / Fiction.",,99329,,,
Welcome to paradise,01/01/2010,,Titan,,15535937,9.78E+12,1,"Hex, Jonah (Fictitious character) / Comic books, strips, etc. / Fiction.",,99330,,,
Jonah Hex.,01/01/2010,,Titan Books,,15639865,9.78E+12,1,"Hex, Jonah (Fictitious character) / Comic books, strips, etc. / Fiction.",,99331,,,
The band,01/01/2011,,Blank Slate,,15781784,9.78E+12,1,"High school students / Comic books, strips, etc. / Fiction.",,99361,,,
Pilgrim & Son in The festival ritual,01/01/2005,,Knockabout,,13148139,861661516,1,"Hippies / Comic books, strips, etc. / Fiction.",,99374,,,
A people's history of American empire :a graphic adaptation,01/01/2008,,Constable,,14607704,9.78E+12,1,"Historians / United States / Biography / Comic books, strips, etc.",,99376,,,
World War II in cartoons,01/01/1989,,W.H. Smith,,10117479,861245768,1,History,,99399,,,
Scooby-Doo! World of mystery.,01/01/2014,,,,15731398,,1,"History, Ancient / Periodicals / Juvenile literature.",,99419,,,
Que le pasa a Mateoy :los MediKidz explican que el VIH,01/01/2011,,MediKidz,,15847522,9.78E+12,1,"HIV (Viruses) / Comic books, strips, etc. / Juvenile fiction.",,99432,,,
"How to draw Halloween, Christmas & seasonal characters",01/01/1999,,Watson-Guptill Publications,,7427611,082302377X,1,Holiday decorations in art.,,99438,,,
Kids draw funny & spooky holiday characters,01/01/2001,,Watson-Guptill Publications,,7427637,823026264,1,Holiday decorations in art.,,99439,,,
The valley of fear,01/01/2011,,SelfMadeHero,,15716981,9.78E+12,1,"Holmes, Sherlock (Fictitious character) / Comic books, strips, etc. / Fiction.",,99446,,,
The wicked world of Horrid Henry :become the ultimate joker with your dirty tricks kit.,01/01/2008,,Hachette Partworks,,14467760,,1,"Horrid Henry (Fictitious character) / Comic books, strips, etc. / Juvenile fiction.",,99459,,,
